,NCAA,Inter,G League,HS,,,NCAA,Inter,G League,HS,,,,,,Ronald Holland II,Detroit Pistons,Ignite (G League),2024,1,5,5,G League,YES,,Duke,71,NCAA
,,,,,,,,,,,,,,,,Juan Carlos Navarro,Washington Wizards,FC Barcelona Basquet (Spain),2002,2,11,39,Inter,,,South Kent School,2,
,,,,,,,,,,,,,,,,Pau Gasol,Atlanta Hawks,FC Barcelona Basquet (Spain),2001,1,3,3,Inter,,,Pallalcesto Amatori Udine (Italy),2,
,,,,,,,,,,,,,,,,Raul Lopez,Utah Jazz,Real Madrid Baloncesto (Spain),2001,1,24,24,Inter,,,Oak Hill Academy,2,
,,,,,,,,,,,,,,,,Mehmet Okur,Detroit Pistons,Anadolu Efes S.K. (Turkey),2001,2,9,37,Inter,,,Pallacanestro Varese (Italy),2,
,,,,,,,,,,,,,,,,Hedo Turkoglu,Sacramento Kings,Anadolu Efes S.K. (Turkey),2000,1,16,16,Inter,,,JDA Dijon Basket (France),2,
,,,,,,,,,,,,,,,,Primoz Brezec,Indiana Pacers,KK Olimpija (Slovenia),2000,1,27,27,Inter,,,A.E.K. Athens B.C. (Greece),2,
,,,,,,,,,,,,,,,,Marko Jaric,Los Angeles Clippers,Fortitudo Pallacanestro Bologna (Italy),2000,2,1,30,Inter,,,DJK Wurzburg (Germany),2,
,,,,,,,,,,,,,,,,Josip Sesar,Seattle SuperSonics,KK Cibona (Croatia),2000,2,18,47,Inter,,,Northwestern,2,
,,,,,,,,,,,,,,,,Gordan Giricek,Dallas Mavericks,KK Cibona (Croatia),1999,2,11,40,Inter,,,California-Santa Barbara,2,
,,,,,,,,,,,,,,,,Bruno Sundov,Dallas Mavericks,KK Split (Croatia),1998,2,6,35,Inter,,,Central Florida,2,
,,,,,,,,,,,,,,,,Mirsad Turkcan,Houston Rockets,Anadolu Efes S.K. (Turkey),1998,1,18,18,Inter,,,Belmont,2,
,,,,,,,,,,,,,,,,Vladimir Stepania,Seattle SuperSonics,KK Olimpija (Slovenia),1998,1,27,27,Inter,,,Toledo,2,
,,,,,,,,,,,,,,,,Marko Milic,Philadelphia 76ers,KK Olimpija (Slovenia),1997,2,5,33,Inter,,,Loyola-Maryland,2,
,,,,,,,,,,,,,,,,Predrag Drobnjak,Washington Wizards,KK Partizan (Serbia),1997,2,20,48,Inter,,,Utah State,2,
,,,,,,,,,,,,,,,,Roberto Duenas,Chicago Bulls,FC Barcelona Basquet (Spain),1997,2,29,57,Inter,,,Wichita State,2,
,,,,,,,,,,,,,,,,Dejan Bodiroga,Sacramento Kings,Olimpia Milano (Italy),1995,2,22,51,Inter,,,Valparaiso,2,
,,,,,,,,,,,,,,,,Dragan Tarlac,Chicago Bulls,Olympiacos B.C. (Greece),1995,2,2,31,Inter,,,New Mexico State,2,
,,,,,,,,,,,,,,,,Zeljko Rebraca,Seattle SuperSonics,KK Partizan (Serbia),1994,2,27,54,Inter,,,Bowling Green,2,
,,,,,,,,,,,,,,,,Gheorghe Muresan,Washington Bullets,Elan Bearnais Pau-Orthez (France),1993,2,3,30,Inter,,,Detroit Mercy,2,
,,,,,,,,,,,,,,,,Sasha Danilovic,Golden State Warriors,KK Partizan (Serbia),1992,2,16,43,Inter,,,Richmond,2,
,,,,,,,,,,,,,,,,Zan Tabak,Houston Rockets,KK Split (Croatia),1991,2,24,51,Inter,,,Butler,2,
,,,,,,,,,,,,,,,,Toni Kukoc,Chicago Bulls,Universo Treviso Basket (Italy),1990,2,2,29,Inter,,,South Florida,2,
,,,,,,,,,,,,,,,,Dino Radja,Boston Celtics,KK Split (Croatia),1989,2,13,40,Inter,,,Marshall,2,
,,,,,,,,,,,,,,,,Alex Sarr,Washington Wizards,Perth Wildcats (Australia),2024,1,2,2,Inter,YES,,Bradley,2,
,,,,,,,,,,,,,,,,Nikola Topić,Oklahoma City Thunder,KK Crvena zvezda (Serbia),2024,1,12,12,Inter,YES,,George Washington,2,
,,,,,,,,,,,,,,,,AJ Johnson,Milwaukee Bucks,Illawarra (Australia),2024,1,23,23,Inter,YES,,Western Carolina,2,
,,,,,,,,,,,,,,,,Bobi Klintman,Minnesota Timberwolves,Cairns Taipans (Australia),2024,2,7,37,Inter,,,Cal State-Fullerton,2,
,,,,,,,,,,,,,,,,Melvin Ajinca,New York Knicks,Saint-Quentin BB (France),2024,2,21,51,Inter,,,Austin Peay,2,
,,,,,,,,,,,,,,,,Victor Wembanyama,San Antonio Spurs,Metropolitans 92 (France),2023,1,1,1,Inter,,,Old Dominion,2,
,,,,,,,,,,,,,,,,Bilal Coulibaly,Indiana Pacers,Metropolitans 92 (France),2023,1,7,7,Inter,,,Jackson State,2,
,,,,,,,,,,,,,,,,Rayan Rupert,Portland Trail Blazers,Breakers (New Zealand),2023,2,13,43,Inter,,,New Orleans,2,
,,,,,,,,,,,,,,,,Tarik Biberovic,Memphis Grizzlies,Fenerbahce S.K. (Turkey),2023,2,26,56,Inter,,,Southern University,2,
,,,,,,,,,,,,,,,,Matteo Spagnolo,Minnesota Timberwolves,Vanoli Cremona (Italy),2022,2,20,50,Inter,,,Jacksonville,2,
,,,,,,,,,,,,,,,,Karlo Matković,New Orleans Pelicans,Mega Mozzart (Serbia),2022,2,22,52,Inter,,,South Alabama,2,
,,,,,,,,,,,,,,,,Yannick Nzosa,Washington Wizards,Unicaja Baloncesto Malaga (Spain),2022,2,24,54,Inter,,,Saint-Quentin BB (France),2,
,,,,,,,,,,,,,,,,Gui Santos,Golden State Warriors,Associacao Atletica Ponte Preta (Brazil),2022,2,25,55,Inter,,,Perth Wildcats (Australia),2,
,,,,,,,,,,,,,,,,Ousmane Dieng,New York Knicks,Breakers (New Zealand),2022,1,11,11,Inter,,,Cairns Taipans (Australia),2,
,,,,,,,,,,,,,,,,Ismael Kamagate,Detroit Pistons,Paris (France),2022,2,16,46,Inter,,,Metropolitans 92 (France),2,
,,,,,,,,,,,,,,,,Luke Travers,Cleveland Cavaliers,Perth Wildcats (Australia),2022,2,26,56,Inter,,,Paris (France),2,
,,,,,,,,,,,,,,,,Hugo Besson,Indiana Pacers,Breakers (New Zealand),2022,2,28,58,Inter,,,Madrid (ESP),2,
,,,,,,,,,,,,,,,,Josh Giddey,Oklahoma City Thunder,NBA Global Academy (Australia),2021,1,6,6,Inter,,,Basket Zaragoza 2002 (Spain),2,
,,,,,,,,,,,,,,,,Alperen Sengun,Oklahoma City Thunder,Besiktas (Turkey),2021,1,16,16,Inter,,,Hapoel Galil Elyon (Israel),2,
,,,,,,,,,,,,,,,,Georgios Kalaitzakis,Indiana Pacers,BC Nevezis (Greece),2021,2,30,60,Inter,,,Limoges CSP (France),2,
,,,,,,,,,,,,,,,,Usman Garuba,Houston Rockets,Madrid (ESP),2021,1,23,23,Inter,,,KK Cedevita (Croatia),2,
,,,,,,,,,,,,,,,,Rokas Jokubaitis,Oklahoma City Thunder,BC Zalgiris (Lithuania),2021,2,4,34,Inter,,,Qingdao (China),1,
,,,,,,,,,,,,,,,,Juhann Begarin,Boston Celtics,Paris (France),2021,2,15,45,Inter,,,Cedevita Olimpija (Slovenia),1,
,,,,,,,,,,,,,,,,LaMelo Ball,Charlotte Hornets,Illawarra (Australia),2020,1,3,3,Inter,,,Brisbane (Australia),1,
,,,,,,,,,,,,,,,,Deni Avdija,Washington Wizards,Maccabi Tel Aviv B.C. (Israel),2020,1,9,9,Inter,,,Sydney (Australia),1,
,,,,,,,,,,,,,,,,R.J. Hampton,Milwaukee Bucks,Breakers (New Zealand),2020,1,24,24,Inter,,,Trento (Italy),1,
,,,,,,,,,,,,,,,,Theo Maledon,Philadelphia 76ers,ASVEL Basket (France),2020,2,4,34,Inter,,,JL Bourg (France),1,
,,,,,,,,,,,,,,,,Vít Krejčí,Washington Wizards,Basket Zaragoza 2002 (Spain),2020,2,7,37,Inter,,,APR BBC (Rwanda),1,
,,,,,,,,,,,,,,,,Yam Madar,Boston Celtics,Hapoel Galil Elyon (Israel),2020,2,17,47,Inter,,,MHP Riesen (Germany),1,
,,,,,,,,,,,,,,,,Didi Louzada,Atlanta Hawks,Sesi Franca (Brazil),2019,2,5,35,Inter,,,Vanoli Cremona (Italy),1,
,,,,,,,,,,,,,,,,Sekou Doumbouya,Detroit Pistons,Limoges CSP (France),2019,1,15,15,Inter,,,Mega Mozzart (Serbia),1,
,,,,,,,,,,,,,,,,Deividas Sirvydis,Dallas Mavericks,BC Lietuvos rytas (Lithuania),2019,2,7,37,Inter,,,Unicaja Baloncesto Malaga (Spain),1,
,,,,,,,,,,,,,,,,Isaac Bonga,Philadelphia 76ers,Fraport Skyliners (Germany),2018,2,9,39,Inter,,,Associacao Atletica Ponte Preta (Brazil),1,
,,,,,,,,,,,,,,,,Arnoldas Kulboka,Charlotte Hornets,Brose Bamberg (Germany),2018,2,25,55,Inter,,,Wisconsin-Milwaukee,1,
,,,,,,,,,,,,,,,,Dzanan Musa,Brooklyn Nets,KK Cedevita (Croatia),2018,1,29,29,Inter,,,NBA Global Academy (Australia),1,
,,,,,,,,,,,,,,,,Frank Ntilikina,New York Knicks,SIG Strasbourg (France),2017,1,8,8,Inter,,,Besiktas (Turkey),1,
,,,,,,,,,,,,,,,,Terrance Ferguson,Oklahoma City Thunder,Adelaide 36ers (Australia),2017,1,21,21,Inter,,,BC Nevezis (Greece),1,
,,,,,,,,,,,,,,,,Jonah Bolden,Philadelphia 76ers,Red Star Belgrade (Serbia),2017,2,6,36,Inter,,,John A. Logan,1,
,,,,,,,,,,,,,,,,Mathias Lessort,Philadelphia 76ers,Nanterre 92 (France),2017,2,20,50,Inter,,,Sesi Franca (Brazil),1,
,,,,,,,,,,,,,,,,Isaiah Hartenstein,Houston Rockets,BC Zalgiris (Lithuania),2017,2,13,43,Inter,,,Santa Cruz (G League),1,
,,,,,,,,,,,,,,,,Georgios Papagiannis,Sacramento Kings,Panathinaikos B.C. (Greece),2016,1,13,13,Inter,,,Fraport Skyliners (Germany),1,
,,,,,,,,,,,,,,,,Juancho Hernangomez,Denver Nuggets,Movistar Estudiantes,2016,1,15,15,Inter,,,Brose Bamberg (Germany),1,
,,,,,,,,,,,,,,,,Guerschon Yabusele,Boston Celtics,SPO Rouen Basket,2016,1,16,16,Inter,,,Texas-Arlington,1,
,,,,,,,,,,,,,,,,Timothe Luwawu-Cabarrot,Philadelphia 76ers,KK Mega Vizura,2016,1,24,24,Inter,,,SIG Strasbourg (France),1,
,,,,,,,,,,,,,,,,Ivica Zubac,Los Angeles Lakers,KK Mega Vizura,2016,2,2,32,Inter,,,Adelaide 36ers (Australia),1,
,,,,,,,,,,,,,,,,Rade Zagorac,Boston Celtics,KK Mega Vizura,2016,2,5,35,Inter,,,Nanterre 92 (France),1,
,,,,,,,,,,,,,,,,David Michineau,New Orleans Pelicans,Elan Chalon (France),2016,2,9,39,Inter,,,Movistar Estudiantes,1,
,,,,,,,,,,,,,,,,Zhou Qi,Houston Rockets,Xinjiang Guanghui,2016,2,13,43,Inter,,,SPO Rouen Basket,1,
,,,,,,,,,,,,,,,,Isaia Cordinier,Atlanta Hawks,Denain ASC Voltaire,2016,2,14,44,Inter,,,Xinjiang Guanghui,1,
,,,,,,,,,,,,,,,,Paul Zipser,Chicago Bulls,FC Bayern Muenchen,2016,2,18,48,Inter,,,Denain ASC Voltaire,1,
,,,,,,,,,,,,,,,,Dragan Bender,Phoenix Suns,Maccabi Tel Aviv B.C. (Israel),2016,1,4,4,Inter,,,FC Bayern Muenchen,1,
,,,,,,,,,,,,,,,,Petr Cornelie,Denver Nuggets,Le Mans Sarthe Basket (France),2016,2,23,53,Inter,,,Fujian,1,
,,,,,,,,,,,,,,,,Emmanuel Mudiay,Denver Nuggets,Guangdong Southern Tigers (China),2015,1,7,7,Inter,,,Georgia State,1,
,,,,,,,,,,,,,,,,Juan Pablo Vaulet,Charlotte Hornets,Bahia Basket (Argentina),2015,2,9,39,Inter,,,Bahia Basket (Argentina),1,
,,,,,,,,,,,,,,,,Daniel Diez,Utah Jazz,San Sebastian Gipuzkoa BC (Spain),2015,2,24,54,Inter,,,Australian Institute of Sport (Australia),1,
,,,,,,,,,,,,,,,,Luka Mitrovic,Philadelphia 76ers,Red Star Belgrade (Serbia),2015,2,30,60,Inter,,,Esporte Clube Pinheiros (Brazil),1,
,,,,,,,,,,,,,,,,Arturas Gudaitis,Philadelphia 76ers,BC Zalgiris (Lithuania),2015,2,17,47,Inter,,,Texas Legends (D-League),1,
,,,,,,,,,,,,,,,,Dante Exum,Utah Jazz,Australian Institute of Sport (Australia),2014,1,5,5,Inter,,,Chorale Roanne Basket (France),1,
,,,,,,,,,,,,,,,,Bruno Caboclo,Toronto Raptors,Esporte Clube Pinheiros (Brazil),2014,1,20,20,Inter,,,Delaware 87ers (D-League),1,
,,,,,,,,,,,,,,,,Clint Capela,Houston Rockets,Elan Chalon (France),2014,1,25,25,Inter,,,Paris-Levallois Basket (France),1,
,,,,,,,,,,,,,,,,Damien Inglis,Milwaukee Bucks,Chorale Roanne Basket (France),2014,2,1,31,Inter,,,Lehigh,1,
,,,,,,,,,,,,,,,,Louis Labeyrie,Indiana Pacers,Paris-Levallois Basket (France),2014,2,27,57,Inter,,,B.C. Zenit Saint Petersburg (Russia),1,
,,,,,,,,,,,,,,,,Jusuf Nurkić,Chicago Bulls,KK Cedevita (Croatia),2014,1,16,16,Inter,,,Bucknell,1,
,,,,,,,,,,,,,,,,Lucas Nogueira,Boston Celtics,CB Estudiantes (Spain),2013,1,16,16,Inter,,,BK Ventspils (Latvia),1,
,,,,,,,,,,,,,,,,Dennis Schröder,Atlanta Hawks,Basketball Lowen Braunschweig (Germany),2013,1,17,17,Inter,,,Banvit B.K. (Turkey),1,
,,,,,,,,,,,,,,,,Sergey Karasev,Cleveland Cavaliers,B.C. Zenit Saint Petersburg (Russia),2013,1,19,19,Inter,,,CB Axarquia (Spain),1,
,,,,,,,,,,,,,,,,Raul Neto,Atlanta Hawks,San Sebastian Gipuzkoa BC (Spain),2013,2,17,47,Inter,,,Galatasaray S.K. (Turkey),1,
,,,,,,,,,,,,,,,,Bojan Dubljevic,Minnesota Timberwolves,Valencia BC (Spain),2013,2,29,59,Inter,,,Pinar Karsiyaka (Turkey),1,
,,,,,,,,,,,,,,,,Janis Timma,Memphis Grizzlies,BK Ventspils (Latvia),2013,2,30,60,Inter,,,Poitiers Basket 86 (France),1,
,,,,,,,,,,,,,,,,Giannis Antetokounmpo,Milwaukee Bucks,Basket Zaragoza 2002 (Spain),2013,1,15,15,Inter,,,Baloncesto Fuenlabrada (Spain),1,
,,,,,,,,,,,,,,,,Livio Jean-Charles,San Antonio Spurs,ASVEL Basket (France),2013,1,28,28,Inter,,,Tokyo Apache (Japan),1,
,,,,,,,,,,,,,,,,Nemanja Nedovic,Phoenix Suns,BC Lietuvos rytas (Lithuania),2013,1,30,30,Inter,,,Bakersfield Jam (D-League),1,
,,,,,,,,,,,,,,,,Izzet Turkyilmaz,Denver Nuggets,Banvit B.K. (Turkey),2012,2,20,50,Inter,,,Al Rayyan Basketball Team (Qatar),1,
,,,,,,,,,,,,,,,,Ognjen Kuzmic,Golden State Warriors,CB Axarquia (Spain),2012,2,22,52,Inter,,,Gold Coast Blaze (Australia),1,
,,,,,,,,,,,,,,,,Furkan Aldemir,Los Angeles Clippers,Galatasaray S.K. (Turkey),2012,2,23,53,Inter,,,Alba Fehervar (Hungary),1,
,,,,,,,,,,,,,,,,Ilkan Karaman,Brooklyn Nets,Pinar Karsiyaka (Turkey),2012,2,27,57,Inter,,,Brose Baskets (Germany),1,
,,,,,,,,,,,,,,,,Evan Fournier,Denver Nuggets,Poitiers Basket 86 (France),2012,1,20,20,Inter,,,CB Murcia (Spain),1,
,,,,,,,,,,,,,,,,Bismack Biyombo,Sacramento Kings,Baloncesto Fuenlabrada (Spain),2011,1,7,7,Inter,,,Tulsa 66ers (D-League),1,
,,,,,,,,,,,,,,,,Jeremy Tyler,Charlotte Bobcats,Tokyo Apache (Japan),2011,2,9,39,Inter,,,Pallacanestro Virtus Roma (Italy),1,
,,,,,,,,,,,,,,,,Tanguy Ngombo,Dallas Mavericks,Al Rayyan Basketball Team (Qatar),2011,2,27,57,Inter,,,CB Prat (Spain),1,
,,,,,,,,,,,,,,,,Ater Majok,Los Angeles Lakers,Gold Coast Blaze (Australia),2011,2,28,58,Inter,,,BC Dnipro (Ukraine),1,
,,,,,,,,,,,,,,,,Adam Hanga,San Antonio Spurs,Alba Fehervar (Hungary),2011,2,29,59,Inter,,,MBC Mykolaiv (Ukraine),1,
,,,,,,,,,,,,,,,,Jonas Valančiūnas,Toronto Raptors,BC Lietuvos rytas (Lithuania),2011,1,5,5,Inter,,,Tennessee-Martin,1,
,,,,,,,,,,,,,,,,MIlan Macvan,Cleveland Cavaliers,Maccabi Tel Aviv B.C. (Israel),2011,2,24,54,Inter,,,Rider,1,
,,,,,,,,,,,,,,,,Tibor Pleiss,New Jersey Nets,Brose Baskets (Germany),2010,2,1,31,Inter,,,Hyeres-Toulon Var Basket (France),1,
,,,,,,,,,,,,,,,,Paulao Prestes,Minnesota Timberwolves,CB Murcia (Spain),2010,2,15,45,Inter,,,CB L'Hospitalet (Spain),1,
,,,,,,,,,,,,,,,,Pape Sy,Atlanta Hawks,STB Le Havre (France),2010,2,23,53,Inter,,,IUPUI,1,
,,,,,,,,,,,,,,,,Nemanja Bjelica,Washington Wizards,KK Crvena zvezda (Serbia),2010,2,5,35,Inter,,,KK Zagreb (Croatia),1,
,,,,,,,,,,,,,,,,Ricky Rubio,Minnesota Timberwolves,Joventut Badalona (Spain),2009,1,5,5,Inter,,,Idaho Stampede (D-League),1,
,,,,,,,,,,,,,,,,Brandon Jennings,Milwaukee Bucks,Pallacanestro Virtus Roma (Italy),2009,1,10,10,Inter,,,Espoon Honka (Finland),1,
,,,,,,,,,,,,,,,,Victor Claver,Portland Trail Blazers,Valencia BC (Spain),2009,1,22,22,Inter,,,Cherkaski Mavpy (Ukraine),1,
,,,,,,,,,,,,,,,,Christian Eyenga,Cleveland Cavaliers,CB Prat (Spain),2009,1,30,30,Inter,,,HKK Siroki (Bosnia and Herzegovina),1,
,,,,,,,,,,,,,,,,Jonas Jerebko,Detroit Pistons,Pallacanestro Biella (Italy),2009,2,9,39,Inter,,,Beijing Olympians (China),1,
,,,,,,,,,,,,,,,,Patrick Beverley,Los Angeles Lakers,BC Dnipro (Ukraine),2009,2,12,42,Inter,,,Marist,1,
,,,,,,,,,,,,,,,,Henk Norel,Minnesota Timberwolves,Joventut Badalona (Spain),2009,2,17,47,Inter,,,CB Sant Josep (Spain),1,
,,,,,,,,,,,,,,,,Sergiy Gladyr,Atlanta Hawks,MBC Mykolaiv (Ukraine),2009,2,19,49,Inter,,,Townsville Crocodiles (Australia),1,
,,,,,,,,,,,,,,,,Omri Casspi,Sacramento Kings,Maccabi Tel Aviv B.C. (Israel),2009,1,23,23,Inter,,,VOO Wolves Verviers-Pepinster (Belgium),1,
,,,,,,,,,,,,,,,,Emir Preldzic,Phoenix Suns,Fenerbahce S.K. (Turkey),2009,2,27,57,Inter,,,Objetivo Sao Carlos (Brazil),1,
,,,,,,,,,,,,,,,,Alexis Ajinca,Charlotte Bobcats,Hyeres-Toulon Var Basket (France),2008,1,20,20,Inter,,,Union Bank Lagos B.C. (Nigeria),1,
,,,,,,,,,,,,,,,,Serge Ibaka,Oklahoma City Thunder,CB L'Hospitalet (Spain),2008,1,24,24,Inter,,,KK Bosna Royal (Bosnia and Herzegovina),1,
,,,,,,,,,,,,,,,,Ante Tomic,Utah Jazz,KK Zagreb (Croatia),2008,2,14,44,Inter,,,Seattle Preparatory School,1,
,,,,,,,,,,,,,,,,Nicolas Batum,Houston Rockets,Le Mans Sarthe Basket (France),2008,1,25,25,Inter,,,Saint Joseph,1,
,,,,,,,,,,,,,,,,Omer Asik,Portland Trail Blazers,Fenerbahce S.K. (Turkey),2008,2,6,36,Inter,,,Baloncesto Malaga (Spain),1,
,,,,,,,,,,,,,,,,Nathan Jawai,Indiana Pacers,Cairns Taipans (Australia),2008,2,11,41,Inter,,,Gulf Shores Academy,1,
,,,,,,,,,,,,,,,,Tadija Dragicevic,Utah Jazz,KK Crvena zvezda (Serbia),2008,2,23,53,Inter,,,Skyline,1,
,,,,,,,,,,,,,,,,Semih Erden,Boston Celtics,Fenerbahce S.K. (Turkey),2008,2,30,60,Inter,,,Lanier,1,
,,,,,,,,,,,,,,,,Yi Jianlian,Milwaukee Bucks,Guangdong Southern Tigers (China),2007,1,6,6,Inter,,,South Gwinnett,1,
,,,,,,,,,,,,,,,,Rudy Fernandez,Phoenix Suns,Joventut Badalona (Spain),2007,1,24,24,Inter,,,Walsh,1,
,,,,,,,,,,,,,,,,Tiago Splitter,San Antonio Spurs,Saski Baskonia (Spain),2007,1,28,28,Inter,,,Westchester,1,
,,,,,,,,,,,,,,,,Petteri Koponen,Philadelphia 76ers,Espoon Honka (Finland),2007,1,30,30,Inter,,,Koln 99ers (Germany),1,
,,,,,,,,,,,,,,,,Kyrylo Fesenko,Philadelphia 76ers,Cherkaski Mavpy (Ukraine),2007,2,8,38,Inter,,,Southwest Atlanta Christian Academy,1,
,,,,,,,,,,,,,,,,Stanko Barac,Miami Heat,HKK Siroki (Bosnia and Herzegovina),2007,2,9,39,Inter,,,Peoria,1,
,,,,,,,,,,,,,,,,Sun Sun,Los Angeles Lakers,Beijing Olympians (China),2007,2,10,40,Inter,,,BK Skonto (Latvia),1,
,,,,,,,,,,,,,,,,Marc Gasol,Los Angeles Lakers,CB Sant Josep (Spain),2007,2,18,48,Inter,,,Bakersfield,1,
,,,,,,,,,,,,,,,,Renaldas Seibutis,Dallas Mavericks,Maroussi B.C. (Greece),2007,2,20,50,Inter,,,Abraham Lincoln,1,
,,,,,,,,,,,,,,,,Brad Newley,Houston Rockets,Townsville Crocodiles (Australia),2007,2,24,54,Inter,,,Prentiss,1,
,,,,,,,,,,,,,,,,Mouhamed Sene,Seattle SuperSonics,VOO Wolves Verviers-Pepinster (Belgium),2006,1,10,10,Inter,,,Saint Benedict's Preparatory School,1,
,,,,,,,,,,,,,,,,Thabo Sefolosha,Philadelphia 76ers,Pallacanestro Biella (Italy),2006,1,13,13,Inter,,,Criollos de Caguas (Puerto Rico),1,
,,,,,,,,,,,,,,,,Oleksiy Pecherov,Washington Wizards,Paris Basket Racing (France),2006,1,18,18,Inter,,,Southeastern Illinois,1,
,,,,,,,,,,,,,,,,Sergio Rodriguez,Phoenix Suns,CB Estudiantes (Spain),2006,1,27,27,Inter,,,Roseto Sharks (Italy),1,
,,,,,,,,,,,,,,,,Marcus Vinicius,New Orleans/Oklahoma City Hornets,Objetivo Sao Carlos (Brazil),2006,2,13,43,Inter,,,Yonsei (KOR),1,
,,,,,,,,,,,,,,,,Vladimir Veremeenko,Washington Wizards,CB Cornella (Spain),2006,2,18,48,Inter,,,Sakha-Yakutia Yakutsk (Russia),1,
,,,,,,,,,,,,,,,,Cheikh Samb,Los Angeles Lakers,CB Cornella (Spain),2006,2,21,51,Inter,,,Saint Vincent-Saint Mary,1,
,,,,,,,,,,,,,,,,Ejike Ugboaja,Cleveland Cavaliers,Union Bank Lagos B.C. (Nigeria),2006,2,25,55,Inter,,,KK Vrsac (Serbia),1,
,,,,,,,,,,,,,,,,Edin Bavcic,Toronto Raptors,KK Bosna Royal (Bosnia and Herzegovina),2006,2,26,56,Inter,,,Starkville,1,
,,,,,,,,,,,,,,,,Loukas Mavrokefalidis,Minnesota Timberwolves,P.A.O.K. B.C. (Greece),2006,2,27,57,Inter,,,Westbury Christian School,1,
,,,,,,,,,,,,,,,,Lior Eliyahu,Orlando Magic,Hapoel Galil Elyon (Israel),2006,2,14,44,Inter,,,Clifton J. Ozen,1,
,,,,,,,,,,,,,,,,Fran Vazquez,Orlando Magic,Baloncesto Malaga (Spain),2005,1,11,11,Inter,,,Associacao Bauru Basketball Team (Brazil),1,
,,,,,,,,,,,,,,,,Ian Mahinmi,San Antonio Spurs,STB Le Havre (France),2005,1,28,28,Inter,,,Iraklis Thessaloniki B.C. (Greece),1,
,,,,,,,,,,,,,,,,Ersan Ilyasova,Milwaukee Bucks,Ulkerspor (Turkey),2005,2,6,36,Inter,,,TV Langen (Germany),1,
,,,,,,,,,,,,,,,,Mile Ilic,New Jersey Nets,KK FMP (Serbia),2005,2,13,43,Inter,,,Central Park Christian,1,
,,,,,,,,,,,,,,,,Marcin Gortat,Phoenix Suns,Koln 99ers (Germany),2005,2,27,57,Inter,,,HKK Brotnjo (Bosnia and Herzegovina),1,
,,,,,,,,,,,,,,,,Uros Slokar,Toronto Raptors,Pallalcesto Amatori Udine (Italy),2005,2,28,58,Inter,,,Hong Kong Flying Dragons (China),1,
,,,,,,,,,,,,,,,,Yaroslav Korolev,Los Angeles Clippers,PBC CSKA Moscow (Russia),2005,1,12,12,Inter,,,Shanghai Sharks (China),1,
,,,,,,,,,,,,,,,,Martynas Andriuskevicius,Orlando Magic,BC Zalgiris (Lithuania),2005,2,14,44,Inter,,,CR Vasco da Gama (Brazil),1,
,,,,,,,,,,,,,,,,Andris Biedrins,Golden State Warriors,BK Skonto (Latvia),2004,1,11,11,Inter,,,Cypress Creek,1,
,,,,,,,,,,,,,,,,Pavel Podkolzin,Utah Jazz,Pallacanestro Varese (Italy),2004,1,21,21,Inter,,,Northeast Mississippi Community College,1,
,,,,,,,,,,,,,,,,Sasha Vujacic,Los Angeles Lakers,Pallalcesto Amatori Udine (Italy),2004,1,27,27,Inter,,,Skyliners Frankfurt (Germany),1,
,,,,,,,,,,,,,,,,Peter John Ramos,Washington Wizards,Criollos de Caguas (Puerto Rico),2004,2,3,32,Inter,,,SV Halle (Germany),1,
,,,,,,,,,,,,,,,,Albert Miralles,Toronto Raptors,Roseto Sharks (Italy),2004,2,10,39,Inter,,,Club Ourense Baloncesto (Spain),1,
,,,,,,,,,,,,,,,,Viktor Sanikidze,Atlanta Hawks,JDA Dijon Basket (France),2004,2,13,42,Inter,,,Central Connecticut State,1,
,,,,,,,,,,,,,,,,Ha Ha,Portland Trail Blazers,Yonsei (KOR),2004,2,17,46,Inter,,,Glynn Academy,1,
,,,,,,,,,,,,,,,,Vassilis Spanoulis,Dallas Mavericks,Maroussi B.C. (Greece),2004,2,21,50,Inter,,,Dominguez,1,
,,,,,,,,,,,,,,,,Sergei Karaulov,San Antonio Spurs,Sakha-Yakutia Yakutsk (Russia),2004,2,28,57,Inter,,,Thornwood,1,
,,,,,,,,,,,,,,,,Viktor Khryapa,New Jersey Nets,PBC CSKA Moscow (Russia),2004,1,22,22,Inter,,,Northwest Florida State,1,
,,,,,,,,,,,,,,,,Sergei Monia,Portland Trail Blazers,PBC CSKA Moscow (Russia),2004,1,23,23,Inter,,,St. Jude Educational Institute,1,
,,,,,,,,,,,,,,,,Darko Milicic,Detroit Pistons,KK Vrsac (Serbia),2003,1,2,2,Inter,,,East St. Louis,1,
,,,,,,,,,,,,,,,,Zarko Cabarkapa,Phoenix Suns,KK Buducnost Podgorica (Montenegro),2003,1,17,17,Inter,,,Washington Union,1,
,,,,,,,,,,,,,,,,Sasha Pavlovic,Utah Jazz,KK Buducnost Podgorica (Montenegro),2003,1,19,19,Inter,,,KK Dubrava (Croatia),1,
,,,,,,,,,,,,,,,,Leandro Barbosa,San Antonio Spurs,Associacao Bauru Basketball Team (Brazil),2003,1,28,28,Inter,,,Cincinnati Stuff (IBL),1,
,,,,,,,,,,,,,,,,Sofoklis Schortsanitis,Los Angeles Clippers,Iraklis Thessaloniki B.C. (Greece),2003,2,5,34,Inter,,,Las Vegas Silver Bandits (IBL),1,
